year,local_day,LOCAL_HOUR_END,tot_solar_mwh,_FREQ_,,
2011,1-Jan-11,01,,,,
2011,1-Jan-11,02,,,,
2011,1-Jan-11,03,,,,
2011,1-Jan-11,04,,,,
2011,1-Jan-11,05,,,,
2011,1-Jan-11,06,,,,
2011,1-Jan-11,07,,,,
2011,1-Jan-11,08,,,,
2011,1-Jan-11,09,0.325,9,,
2011,1-Jan-11,10,0.715,17,,
2011,1-Jan-11,11,1.201,20,,
2011,1-Jan-11,12,1.314,20,,
2011,1-Jan-11,13,1.073,19,,
2011,1-Jan-11,14,0.838,18,,
2011,1-Jan-11,15,0.552,14,,
2011,1-Jan-11,16,0.13,6,,
2011,1-Jan-11,17,,,,
2011,1-Jan-11,18,,,,
2011,1-Jan-11,19,,,,
2011,1-Jan-11,20,,,,
2011,1-Jan-11,21,,,,
2011,1-Jan-11,22,,,,
2011,1-Jan-11,23,,,,
2011,1-Jan-11,24,,,,
2011,2-Jan-11,01,,,,
2011,2-Jan-11,02,,,,
2011,2-Jan-11,03,,,,
2011,2-Jan-11,04,,,,
2011,2-Jan-11,05,,,,
2011,2-Jan-11,06,,,,
2011,2-Jan-11,07,,,,
2011,2-Jan-11,08,,,,
2011,2-Jan-11,09,0.233,5,,
2011,2-Jan-11,10,0.298,8,,
2011,2-Jan-11,11,0.502,10,,
2011,2-Jan-11,12,0.611,13,,
2011,2-Jan-11,13,0.552,14,,
2011,2-Jan-11,14,0.607,13,,
2011,2-Jan-11,15,0.329,9,,
2011,2-Jan-11,16,0.143,5,,
2011,2-Jan-11,17,,,,
2011,2-Jan-11,18,,,,
2011,2-Jan-11,19,,,,
2011,2-Jan-11,20,,,,
2011,2-Jan-11,21,,,,
2011,2-Jan-11,22,,,,
2011,2-Jan-11,23,,,,
2011,2-Jan-11,24,,,,
2011,3-Jan-11,01,,,,
2011,3-Jan-11,02,,,,
2011,3-Jan-11,03,,,,
2011,3-Jan-11,04,,,,
2011,3-Jan-11,05,,,,
2011,3-Jan-11,06,,,,
2011,3-Jan-11,07,,,,
2011,3-Jan-11,08,0.319,4,,
2011,3-Jan-11,09,0.483,9,,
2011,3-Jan-11,10,1.508,15,,
2011,3-Jan-11,11,1.984,18,,
2011,3-Jan-11,12,2.05,19,,
2011,3-Jan-11,13,1.519,20,,
2011,3-Jan-11,14,1.556,17,,
2011,3-Jan-11,15,1.051,15,,
2011,3-Jan-11,16,0.361,6,,
2011,3-Jan-11,17,,,,
2011,3-Jan-11,18,,,,
2011,3-Jan-11,19,,,,
2011,3-Jan-11,20,,,,
2011,3-Jan-11,21,,,,
2011,3-Jan-11,22,,,,
2011,3-Jan-11,23,,,,
2011,3-Jan-11,24,,,,
2011,4-Jan-11,01,,,,
2011,4-Jan-11,02,,,,
2011,4-Jan-11,03,,,,
2011,4-Jan-11,04,,,,
2011,4-Jan-11,05,,,,
2011,4-Jan-11,06,,,,
2011,4-Jan-11,07,,,,
2011,4-Jan-11,08,0.041,4,,
2011,4-Jan-11,09,0.404,8,,
2011,4-Jan-11,10,1.164,12,,
2011,4-Jan-11,11,1.141,15,,
2011,4-Jan-11,12,1.07,15,,
2011,4-Jan-11,13,1.083,14,,
2011,4-Jan-11,14,1.13,14,,
2011,4-Jan-11,15,1.042,14,,
2011,4-Jan-11,16,0.304,5,,
2011,4-Jan-11,17,,,,
2011,4-Jan-11,18,,,,
2011,4-Jan-11,19,,,,
2011,4-Jan-11,20,,,,
2011,4-Jan-11,21,,,,
2011,4-Jan-11,22,,,,
2011,4-Jan-11,23,,,,
2011,4-Jan-11,24,,,,
2011,5-Jan-11,01,,,,
2011,5-Jan-11,02,,,,
2011,5-Jan-11,03,,,,
2011,5-Jan-11,04,,,,
2011,5-Jan-11,05,,,,
2011,5-Jan-11,06,,,,
2011,5-Jan-11,07,,,,
2011,5-Jan-11,08,,,,
2011,5-Jan-11,09,0.237,7,,
2011,5-Jan-11,10,0.654,15,,
2011,5-Jan-11,11,1.416,15,,
2011,5-Jan-11,12,2.234,17,,
2011,5-Jan-11,13,2.25,17,,
2011,5-Jan-11,14,1.787,16,,
2011,5-Jan-11,15,1.277,10,,
2011,5-Jan-11,16,0.426,6,,
2011,5-Jan-11,17,,,,
2011,5-Jan-11,18,,,,
2011,5-Jan-11,19,,,,
2011,5-Jan-11,20,,,,
2011,5-Jan-11,21,,,,
2011,5-Jan-11,22,,,,
2011,5-Jan-11,23,,,,
2011,5-Jan-11,24,,,,
2011,6-Jan-11,01,,,,
2011,6-Jan-11,02,,,,
2011,6-Jan-11,03,,,,
2011,6-Jan-11,04,,,,
2011,6-Jan-11,05,,,,
2011,6-Jan-11,06,,,,
2011,6-Jan-11,07,,,,
2011,6-Jan-11,08,,,,
2011,6-Jan-11,09,0.529,9,,
2011,6-Jan-11,10,1.377,15,,
2011,6-Jan-11,11,1.916,16,,
2011,6-Jan-11,12,1.985,16,,
