year,LOCAL_DAY,LOCAL_HOUR_END,METERED_MW,_FREQ_
2011,1/1/11,01,98.481,
2011,1/1/11,02,120.969,
2011,1/1/11,03,85.786,
2011,1/1/11,04,69.035,
2011,1/1/11,05,55.138,
2011,1/1/11,06,49.431,
2011,1/1/11,07,43.936,
2011,1/1/11,08,32.433,
2011,1/1/11,09,30.099,
2011,1/1/11,10,35.061,
2011,1/1/11,11,37.138,
2011,1/1/11,12,21.059,
2011,1/1/11,13,15.597,
2011,1/1/11,14,10.142,
2011,1/1/11,15,10.372,
2011,1/1/11,16,13.795,
2011,1/1/11,17,15.934,
2011,1/1/11,18,20.876,
2011,1/1/11,19,26.182,
2011,1/1/11,20,30.605,
2011,1/1/11,21,42.763,
2011,1/1/11,22,63.258,
2011,1/1/11,23,82.962,
2011,1/1/11,24,113.526,
2011,1/2/11,01,105.799,
2011,1/2/11,02,75.777,
2011,1/2/11,03,61.931,
2011,1/2/11,04,54.915,
2011,1/2/11,05,45.246,
2011,1/2/11,06,36.511,
2011,1/2/11,07,44.779,
2011,1/2/11,08,58.404,
2011,1/2/11,09,97.881,
2011,1/2/11,10,111.003,
2011,1/2/11,11,63.635,
2011,1/2/11,12,47.953,
2011,1/2/11,13,41.593,
2011,1/2/11,14,25.191,
2011,1/2/11,15,23.007,
2011,1/2/11,16,19.604,
2011,1/2/11,17,23.142,
2011,1/2/11,18,21.128,
2011,1/2/11,19,36.334,
2011,1/2/11,20,61.753,
2011,1/2/11,21,81.044,
2011,1/2/11,22,90.203,
2011,1/2/11,23,96.989,
2011,1/2/11,24,113.817,
2011,1/3/11,01,131.095,
2011,1/3/11,02,189.511,
2011,1/3/11,03,206.067,
2011,1/3/11,04,209.168,
2011,1/3/11,05,197.593,
2011,1/3/11,06,195.011,
2011,1/3/11,07,211.647,
2011,1/3/11,08,215.342,
2011,1/3/11,09,198.597,
2011,1/3/11,10,191.217,
2011,1/3/11,11,196.422,
2011,1/3/11,12,198.413,
2011,1/3/11,13,195.989,
2011,1/3/11,14,194.147,
2011,1/3/11,15,185.651,
2011,1/3/11,16,187.481,
2011,1/3/11,17,180.603,
2011,1/3/11,18,185.495,
2011,1/3/11,19,201.902,
2011,1/3/11,20,200.84,
2011,1/3/11,21,200.068,
2011,1/3/11,22,195.082,
2011,1/3/11,23,193.162,
2011,1/3/11,24,190.176,
2011,1/4/11,01,183.722,
2011,1/4/11,02,182.784,
2011,1/4/11,03,183.196,
2011,1/4/11,04,168.571,
2011,1/4/11,05,177.934,
2011,1/4/11,06,175.509,
2011,1/4/11,07,175.765,
2011,1/4/11,08,160.77,
2011,1/4/11,09,152.189,
2011,1/4/11,10,139.249,
2011,1/4/11,11,141.757,
2011,1/4/11,12,128.666,
2011,1/4/11,13,115.61,
2011,1/4/11,14,101.739,
2011,1/4/11,15,86.394,
2011,1/4/11,16,72.945,
2011,1/4/11,17,79.084,
2011,1/4/11,18,106.178,
2011,1/4/11,19,120.109,
2011,1/4/11,20,132.717,
2011,1/4/11,21,140.456,
2011,1/4/11,22,146.05,
2011,1/4/11,23,133.542,
2011,1/4/11,24,135.473,
2011,1/5/11,01,130.967,
2011,1/5/11,02,124.789,
2011,1/5/11,03,141.874,
2011,1/5/11,04,162.662,
2011,1/5/11,05,179.156,
2011,1/5/11,06,191.457,
2011,1/5/11,07,188.418,
2011,1/5/11,08,189.848,
2011,1/5/11,09,181.655,
2011,1/5/11,10,169.511,
2011,1/5/11,11,161.962,
